[Warning: In a future release, UI components will not be included in the
output. To include UI components, use the exportapp function.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('print', 'C:\Program Files\MATLAB\R2023b\toolbox\matlab\graphics\printing\print.m', 86)" style="font-weight:bold">print</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2023b\toolbox\matlab\graphics\printing\print.m',86,0)">line 86</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('saveas', 'C:\Program Files\MATLAB\R2023b\toolbox\matlab\general\saveas.m', 181)" style="font-weight:bold">saveas</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2023b\toolbox\matlab\general\saveas.m',181,0)">line 181</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('collect_data', 'C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\collect_data.m', 160)" style="font-weight:bold">collect_data</a> (<a href="matlab: opentoline('C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\collect_data.m',160,0)">line 160</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('gui>pushbutton1_Callback', 'C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\gui.m', 93)" style="font-weight:bold">gui>pushbutton1_Callback</a> (<a href="matlab: opentoline('C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\gui.m',93,0)">line 93</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('gui_mainfcn', 'C:\Program Files\MATLAB\R2023b\toolbox\matlab\guide\gui_mainfcn.m', 95)" style="font-weight:bold">gui_mainfcn</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2023b\toolbox\matlab\guide\gui_mainfcn.m',95,0)">line 95</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('gui', 'C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\gui.m', 42)" style="font-weight:bold">gui</a> (<a href="matlab: opentoline('C:\Users\bobre\OneDrive\Documents\Ing Física\2023\IIS - 2023\LIENE\SWRDC\code\gui.m',42,0)">line 42</a>)
In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('matlab.graphics.internal.figfile.FigFile/read>@(hObject,eventdata)gui(''pushbutton1_Callback'',hObject,eventdata,guidata(hObject))')" style="font-weight:bold">matlab.graphics.internal.figfile.FigFile/read>@(hObject,eventdata)gui('pushbutton1_Callback',hObject,eventdata,guidata(hObject))</a>] 

Small Wind-turbine Rotor Design Code (SWRDC) 
by M. Sessarego 
Department of Mechanical and Manufacturing Engineering, University of Calgary, 
2500 University Dr. NW, Calgary, Alberta, Canada, T2N 1N4. 
E-mail: msessare@ucalgary.ca 
Copyright (c) 2013, Matias Sessarego 
All rights reserved. 
BY INSTALLING OR USING THIS SOFTWARE, YOU AGREE TO HAVE READ THE LICENSE TERMS AS DESCRIBED IN THE README_FIRST_LICENSE.txt file 
 
Loading and calculating initial population...
 
Cp / AEP  Starting  Mass (kg)  C.1: Strain  C.2: Freq.L  C.3: Freq.U  Noise (dB)  1stFlapEigenFreq (rad/s)
1035.858485  4.331273  1.243344   -0.254392     0.3199      -0.9998          NaN     106.8296
1020.232481  2.045244  1.259771   -0.653516     0.0680      -0.9997          NaN     146.3975
1056.433154  3.759717  2.162835   -0.739316    -0.3835      -0.9996          NaN     217.3132
937.397660  1.528962  1.058177   -0.517264     0.0784      -0.9997          NaN     144.7577
988.979248  6.666560  1.873667   -0.783981    -0.2247      -0.9996          NaN     192.3710
1063.153147  3.467971  1.197289   -0.666624     0.0370      -0.9997          NaN     151.2665
1056.490640  3.974806  2.466768   -0.671418    -0.0414      -0.9997          NaN     163.5882
1028.302310  4.708815  1.834747   -0.731588    -0.1287      -0.9997          NaN     177.3031
1048.578385  3.870390  1.545494   -0.807354    -0.3453      -0.9996          NaN     211.3161
1068.181405  2.029512  1.107333   -0.547348     0.0032      -0.9997          NaN     156.5694
1078.901649  2.952002  1.253173   -0.715628    -0.0734      -0.9997          NaN     168.6015
1061.919601  3.747628  2.185171   -0.721449     0.0960      -0.9997          NaN     141.9979
899.507128  8.667439  2.580545   -0.624077     0.2912      -0.9998          NaN     111.3428
1065.455104  3.122115  1.793744   -0.682576     0.0407      -0.9997          NaN     150.6801
1071.333520  2.221821  1.267386   -0.710181    -0.1557      -0.9997          NaN     181.5341
1061.683133  2.843654  1.902587   -0.765285    -0.0678      -0.9997          NaN     167.7317
1023.986792  4.633993  2.129801   -0.752617    -0.0448      -0.9997          NaN     164.1116
1084.008277  2.601079  1.339560   -0.703498    -0.1411      -0.9997          NaN     179.2497
1072.197900  3.105796  1.088052   -0.647310    -0.0672      -0.9997          NaN     167.6403
990.599292  5.870392  2.061890   -0.768868    -0.0302      -0.9997          NaN     161.8262
1018.255864  4.625216  1.885145   -0.799151    -0.2301      -0.9996          NaN     193.2191
1066.731469  3.242474  2.227408   -0.768387    -0.1403      -0.9997          NaN     179.1209
1059.597754  3.431784  1.540791   -0.637322    -0.0005      -0.9997          NaN     157.1507
1082.800989  2.888931  1.715957   -0.792447    -0.3301      -0.9996          NaN     208.9270
1040.635727  3.053820  2.400931   -0.791891    -0.4490      -0.9996          NaN     227.6092
1037.290508  4.704773  1.500909   -0.788576    -0.2648      -0.9996          NaN     198.6720
1030.267244  4.529146  1.796287   -0.714336     0.0583      -0.9997          NaN     147.9223
1072.647397  3.261918  1.556894   -0.661659    -0.1008      -0.9997          NaN     172.9181
1031.290627  4.463294  2.169745   -0.747529    -0.2642      -0.9996          NaN     198.5854
1025.644928  4.631572  2.307311   -0.678187     0.0600      -0.9997          NaN     147.6603
998.256378  5.781902  1.755935   -0.623685     0.2145      -0.9998          NaN     123.3801
Max Strain at Max Thickness Exceeded
1076.845732  3.360570  0.733082    0.146307     0.4414      -0.9998          NaN      87.7437
1072.080362  3.215934  1.379809   -0.705708    -0.1386      -0.9997          NaN     178.8513
1054.571032  3.870563  1.640858   -0.752582    -0.2290      -0.9996          NaN     193.0455
1033.412371  4.338125  1.457840   -0.460116     0.2385      -0.9998          NaN     119.6147
943.547589  8.447474  2.290427   -0.682941     0.0111      -0.9997          NaN     155.3381
1011.716985  8.275158  1.593648   -0.765187    -0.2704      -0.9996          NaN     199.5494
1042.323572  4.445532  2.079644   -0.563188     0.1863      -0.9998          NaN     127.8197
